reaction_id,enzyme,ec_number,reaction,organism,pH,temperature_K,keq_kin,keq_kin_basis,kinetic_source,keq_thermo,thermo_source,comparator_type
PGI_60KAH,Phosphoglucose isomerase,5.3.1.9,D-glucose 6-phosphate = D-fructose 6-phosphate,Saccharomyces cerevisiae,8.0,293.15,0.307,reported kinetic K' [F6P]/[G6P] at 293.4 K,Stodeman & Schwarz 2004,0.260,TECRDB 60KAH/LOW (Kahana et al. 1960; Goldberg & Tewari 1995),experimental
PGI_68DYS,Phosphoglucose isomerase,5.3.1.9,D-glucose 6-phosphate = D-fructose 6-phosphate,Saccharomyces cerevisiae,8.5,298.20,0.395,reported kinetic K' [F6P]/[G6P] at 298.4 K,Stodeman & Schwarz 2004,0.290,TECRDB 68DYS/NOL (Dyson & Noltmann 1968; Goldberg & Tewari 1995),experimental
PGI_88TEW,Phosphoglucose isomerase,5.3.1.9,D-glucose 6-phosphate = D-fructose 6-phosphate,Saccharomyces cerevisiae,8.7,298.15,0.395,reported kinetic K' [F6P]/[G6P] at 298.4 K,Stodeman & Schwarz 2004,0.293,TECRDB 88TEW/STE (Goldberg & Tewari 1995),experimental
TPI,Triosephosphate isomerase,5.3.1.1,D-glyceraldehyde 3-phosphate = dihydroxyacetone phosphate,Gallus gallus (muscle),,303.15,20.4,Haldane (kcat/KM)_GAP / (kcat/KM)_DHAP = (2.56e5/0.47)/(2.59e4/0.97),Putman et al. 1972,22.0,Veech et al. 1969 (311 K),experimental
Mandelate_racemase,Mandelate racemase,5.1.2.2,(S)-mandelate = (R)-mandelate,Pseudomonas putida,7.5,298.15,1.14,Haldane (kcat/KM)_S / (kcat/KM)_R = (447/0.62)/(514/0.81),St Maurice & Bearne 2002,1.000,enantiomer symmetry (equal standard free energies),exact
Proline_racemase,Proline racemase,5.1.1.4,L-proline = D-proline,Clostridium sticklandii,,298.15,1.000,reported kcat/KM equal in both directions (9e5 /M/s),"Fisher, Albery & Knowles 1986",1.000,enantiomer symmetry (equal standard free energies),exact
B_anthracis_RacE2,Glutamate racemase RacE2,5.1.1.3,L-glutamate = D-glutamate,Bacillus anthracis,8.2,298.15,1.28378,Haldane (kcat/KM)_L-Glu / (kcat/KM)_D-Glu = (38/3.7)/(1.6/0.20),May et al. 2007 Table 2,1.000,enantiomer symmetry (equal standard free energies),exact
B_anthracis_RacE1,Glutamate racemase RacE1,5.1.1.3,L-glutamate = D-glutamate,Bacillus anthracis,8.2,298.15,0.510577,Haldane (kcat/KM)_L-Glu / (kcat/KM)_D-Glu = (17.7/8.0)/(3.9/0.90),May et al. 2007 Table 2,1.000,enantiomer symmetry (equal standard free energies),exact
L_fermenti_GluR,Glutamate racemase,5.1.1.3,L-glutamate = D-glutamate,Lactobacillus fermenti,,,0.799465,Haldane (kcat/KM)_L-Glu / (kcat/KM)_D-Glu = (69/0.33)/(68/0.26),Gallo & Knowles 1993; constants reproduced in May et al. 2007 Table 2,1.000,enantiomer symmetry (equal standard free energies),exact
B_bifidum_AspR,Aspartate racemase,5.1.1.13,L-aspartate = D-aspartate,Bifidobacterium bifidum,7.0,303.15,0.973856,Haldane Vmax/KM(L-Asp) / Vmax/KM(D-Asp) = 14.9/15.3,Yamashita et al. 2004 Table 2,1.000,enantiomer symmetry (equal standard free energies),exact
P_aeruginosa_DadX,Alanine racemase DadX,5.1.1.1,L-alanine = D-alanine,Pseudomonas aeruginosa PAO1,,,1.15672,Haldane Vmax/KM(L-Ala) / Vmax/KM(D-Ala) = (155/1.40)/(134/1.40),Strych et al. 2000; BRENDA extraction,1.000,enantiomer symmetry (equal standard free energies),exact
Fumarase_phosphate_pH6,Fumarase (fumarate hydratase),4.2.1.2,fumarate + H2O = (S)-malate,Corynebacterium glutamicum,6.0,294.65,6.4,reported kinetic Keq in phosphate buffer; assay temperature reported as 20-23 C,Genda et al. 2006,4.2,Goldberg & Tewari 1995 / Gajewski et al. 1985 (evaluated K'=4.2),evaluated
Fumarase_phosphate_pH7,Fumarase (fumarate hydratase),4.2.1.2,fumarate + H2O = (S)-malate,Corynebacterium glutamicum,7.0,294.65,6.1,reported kinetic Keq in phosphate buffer; assay temperature reported as 20-23 C,Genda et al. 2006,4.2,Goldberg & Tewari 1995 / Gajewski et al. 1985 (evaluated K'=4.2),evaluated
Fumarase_phosphate_pH8,Fumarase (fumarate hydratase),4.2.1.2,fumarate + H2O = (S)-malate,Corynebacterium glutamicum,8.0,294.65,4.6,reported kinetic Keq in phosphate buffer; assay temperature reported as 20-23 C,Genda et al. 2006,4.2,Goldberg & Tewari 1995 / Gajewski et al. 1985 (evaluated K'=4.2),evaluated
Fumarase_MES_pH6,Fumarase (fumarate hydratase),4.2.1.2,fumarate + H2O = (S)-malate,Corynebacterium glutamicum,6.0,294.65,16.0,reported kinetic Keq in non-phosphate (MES) buffer; assay temperature reported as 20-23 C,Genda et al. 2006,4.2,Goldberg & Tewari 1995 / Gajewski et al. 1985 (evaluated K'=4.2),evaluated
Fumarase_TES_pH7,Fumarase (fumarate hydratase),4.2.1.2,fumarate + H2O = (S)-malate,Corynebacterium glutamicum,7.0,294.65,19.0,reported kinetic Keq in non-phosphate (TES) buffer; assay temperature reported as 20-23 C,Genda et al. 2006,4.2,Goldberg & Tewari 1995 / Gajewski et al. 1985 (evaluated K'=4.2),evaluated
